Station Names,Station Code,Latitude,Longitude
Gov. Pascual,GP,14.670028,120.972833
Sangandaan,SGDN,14.658428,120.973736
Asistio,AST,14.651597,120.974869
C-3,C3,14.644591,120.975532
Solis,SOL,14.32715,120.975583
Tutuban,TU,14.6115627,120.9731973
Blumentritt,BLU,14.6226104,120.9834584
Laon Laan,LLN,14.6164232,120.9928512
España,SPÑ,14.6124293,120.9966336
Sta. Mesa,SA,14.6007096,121.0103227
Pandacan,PD,14.5904794,121.0089270
Paco,PC,14.5790481,120.9991586
San Andres,SAN,14.5731191,120.9995466
Vito Cruz,VTC,14.5669395,121.0028695
Dela Rosa,DLR,14.556731,121.0085162
Pasay Road,PRD,14.5505875,121.0116975
EDSA,EDS,14.5407766,121.0169796
Nichols,NIC,14.5236088,121.0262498
FTI Complex,FTI,14.5063830,121.0355120
Bicutan,BIC,14.4877920,121.0455331
Sucat,SU,14.4523948,121.0509582
Alabang,AA,14.4169619,121.0477031
Muntinlupa,MP,14.3894236,121.0476065
San Pedro,SPL,14.3619210,121.0552255
Biñan,ÑA,14.3310486,121.0814518
Sta. Rosa,SRL,14.3061462,121.1097608
Cabuyao,AO,14.2799336,121.1262698
Mamatid,TD,14.2321220,121.1457289
Calamba,LA,14.2069086,121.1579921
Pansol,OL,14.17856,121.18366
Masili,MS,14.17902,121.20081
Los Baños,LB,14.17803,121.22137
College,CO,14.18173,121.24024
IRRI,IRRI,14.1677,121.25422
